dummy_field	id_set_1	name_set_1	id_set_2	name_set_2
0.8833333333333333	8451	better+on+the+other+side_20840425.html	8450	better+on+the+other+side_20840424.html
0.96	84813	you+know+who+your+friends+are_20479149.html	37187	i+should+of_20479161.html
0.9166666666666666	24204	farther+along_20041777.html	24203	farther+along+feat+dolly+parton+linda+ronstadt_20200408.html
0.9233333333333333	39153	ill+stand+by+you_20854236.html	39152	ill+stand+by+you_20692060.html
0.9733333333333334	23085	everybody+needs+somebody_20335907.html	23084	everybody+needs+somebody+to+love_20335912.html
1.0	85481	youve+got+to+hide+your+love+away_20355411.html	85480	youve+got+to+hide+your+love+away_20355408.html
1.0	82474	when+will+i+see+you_20827750.html	33554	hollywood+perfume_20110660.html
0.8566666666666667	75698	the+power+of+love_20300207.html	61146	power+of+love_10010598.html
1.0	75865	the+rhythm+of+the+saints_20105923.html	61592	proof_20105917.html
1.0	908	a+fella+with+an+umbrella_20195821.html	907	a+fella+with+an+umbrella_20068111.html
0.8866666666666667	65719	secret+ambition_20835025.html	65718	secret+ambition_20093111.html
0.9866666666666667	19428	do+what+you+say_20815555.html	19411	do+what+i+say_20626653.html
0.9666666666666667	71106	street+life_20509329.html	71105	street+life_20118942.html
1.0	49082	love+is+a+many+splendored+thing_20804298.html	49080	love+is+a+many+splendored+thing_20248673.html
1.0	49082	love+is+a+many+splendored+thing_20804298.html	49081	love+is+a+many+splendored+thing_20504149.html
1.0	36193	i+guess+ill+always+love+you_20846463.html	36192	i+guess+ill+always+love+you_20825718.html
0.9966666666666667	41649	its+about+that+money_20608941.html	41648	its+about+that+money_20548041.html
0.94	14408	cigarretes+alcohol_20102336.html	14400	cigarettes+alcohol_20102325.html
0.93	8931	billy+joel+big+shot_20648986.html	8803	big+shot_10034803.html
0.8566666666666667	8931	billy+joel+big+shot_20648986.html	8805	big+shot_20620553.html
0.89	69669	spanish+guitar_20139082.html	69667	spanish+guitar+joe+claussell+main+mix_20920580.html
0.89	69669	spanish+guitar_20139082.html	69665	spanish+guitar+hq2+club+mix_20920582.html
0.98	63947	rocking+around+the+christmas+tree_20674300.html	63919	rockin+around+the+christmas+tree_20064269.html
0.89	18196	deep+purple_20822160.html	1636	a+touch+away_20038784.html
0.8666666666666667	63947	rocking+around+the+christmas+tree_20674300.html	63915	rockin+around+the+christmas+tree_10163487.html
